Label,URL,productID,brand,name,price,description,ingredients,subCategory
face,https://urldefense.com/v3/__https://www.sephora.com/product/radiant-creamy-concealer-P377873?icid2=products*20grid:p377873__;JQ!!Mih3wA!SDmb7C-mbJC9w0mwRXj1sFpaLGSeE_Z3lGSnfci_-V7PHKPI-CokrwCYsx88HKcIjQ$ ,2172310,NARS,Radiant Creamy Concealer,$30.00,"What it is: An award-winning concealer that corrects, contours, highlights, and perfects up to 16 hours—all shades are now available in mini size.
Coverage: Medium
Finish: Natural
Formulation: Liquid
Skin Type: Normal, Dry, Combination, and Oily
Highlighted Ingredients:
- Mineral Tone Balancing Powder: Works to optically correct, not mask, imperfections.
- Multi-Active Botanical Blend (Magnolia Bark Extract, Grape Seed Extract, and Vitamin E): Helps hydrate, reduce the appearance of redness, and support skin resilience by promoting moisture retention.
- Light-Diffusing Mineral Powder: Reduces the appearance of fine lines and wrinkles and helps even out the look of skin tone.
Ingredient Callouts: Free of sulfates SLS and SLES, parabens, formaldehydes, formaldehyde-releasing agents, phthalates, mineral oil, retinyl palmitate, oxybenzone, coal tar, hydroquinone, triclosan, and triclocarban, and contains less than one percent of synthetic fragrances. This product is also vegan and gluten-free.
What Else You Need to Know: Ideal for all skin types, this multi-action formula lasts up to 16 hours, and masks imperfections, blurs the look of lines and wrinkles, and hides dark circles and signs of fatigue. The botanical blend hydrates, firms, reduces redness, and strengthens the look of skin by helping its barrier retain moisture.
Clinical Results: In a clinical independent study on 61 participants:
- 89% felt the product leaves the skin looking firmer
- 93% felt the product effectively conceals dark spots, blemishes and dark under eye circles
- 80% felt the product blurs lines and wrinkles","Water/Aqua/Eau, Dimethicone, Hydrogenated Polydecene, Propanediol, Butylene Glycol, Peg-9 Polydimethylsiloxyethyl Dimethicone, Glycerin, Disteardimonium Hectorite, Peg-10 Dimethicone, Methyl Methacrylate Crosspolymer, Bis-Butyldimethicone Polyglyceryl-3, Sorbitan Sesquiisostearate, Dimethicone/Vinyl Dimethicone Crosspolymer, Isostearic Acid, Phenoxyethanol, Polysilicone-2, Maltodextrin, Trisodium Edta, Lecithin, Silica, Aluminum Hydroxide, Tin Oxide, Triethoxycaprylylsilane, Tocopheryl Acetate, Sodium Metabisulfite, Magnolia Officinalis Bark Extract, Tocopherol, Vitis Vinifera (Grape) Seed Extract, [+/- (May Contain/Peut Contenir): Mica, Titanium Dioxide (Ci 77891), Iron Oxides (Ci 77491), Iron Oxides (Ci 77492), Iron Oxides (Ci 77499)].",Concealer
face,https://urldefense.com/v3/__https://www.sephora.com/product/cicapair-tiger-grass-color-correcting-treatment-spf-30-P411540?icid2=products*20grid:p411540__;JQ!!Mih3wA!SDmb7C-mbJC9w0mwRXj1sFpaLGSeE_Z3lGSnfci_-V7PHKPI-CokrwCYsx9ZsMsU9A$ ,1855709,Dr. Jart+,Cicapair™ Tiger Grass Color Correcting Treatment SPF 30,$52.00,"What it is: A green-to-beige color-correcting treatment that corrects redness and protects skin from UV damage and environmental aggressors.

Skin Type: Normal, Dry, Combination, and Oily

Skincare Concerns: Redness, Dryness, Dullness and uneven texture

Formulation: Cream

SPF: 30

Highlighted Ingredients:
- Centella Asiatica Complex: Protects from environmental stressors causing sensitized skin.
- Herbs Complex: Supports skin for a vibrant appearance.
- Minerals Solution and Panthenol: Supports skin's moisture barrier.

Ingredient Callouts: Free of sulfates SLS and SLES, parabens, formaldehydes, formaldehyde-releasing agents, phthalates, mineral oil, retinyl palmitate, oxybenzone, coal tar, hydroquinone, triclosan, and triclocarban, and contains less than one percent of synthetic fragrances.

What Else You Need to Know: This all-in-one treatment includes a color-changing capsule to cover blemishes and neutralize redness, restoring fatigued skin for a vibrant appearance. The formula features Tiger Grass (Centella Asiatica) to help heal sensitive skin exhibiting inflammation, irritation or discomfort.

The Cicapair™ Collection is inspired by the true legend of Asian tigers, rolling in centella asiatica to heal their battle wounds. Also known as tiger grass, its medicinal use has been recognized for centuries. For generations, this active ingredient has also been recognized as a recovery system to help support wounded skin exhibiting inflammation, redness, or blemishes.

This product is free from 10 harmful ingredients such as artificial fragrance or color, denatured alcohol, triethanolamine, sulfate-based surfactants, triclosan, mineral oil, propylene glycol, and DEA that causes skin irritation.","-Centella Asiatica Complex: Protects from environmental stressors causing sensitized skin.
-Herbs Complex: Supports skin for a vibrant appearance.
-Minerals Solution and Panthenol: Supports skin's moisture barrier.

Water, Centella Asiatica Leaf Water, Isononyl Isononanoate, Caprylic / Capric Triglyceride, Isotridecyl Isononanoate, Butylene Glycol, Methyl Methacrylate Crosspolymer, Beeswax, Glycerin, Niacinamide, Polymethylsilsesquioxane, Pan-Thenol, Iron Oxides (CI 77491), Iron Oxides (CI 77492), Polyglyceryl-4 Diisostearate/Polyhydroxystearate/Sebacate, Aluminum Hydroxide, Disteardimonium Hectorite, Sodium Benzoate, Chromium Oxide Greens, Potassium Sorbate, Fragaria Vesca (Strawberry) Leaf Extract, Disodium EDTA, Alcohol, Asiaticoside, Aden- Osine, Triethoxycaprylylsilane, Lavandula Angustifolia (Lavender) Oil, Asiatic Acid, Madecassic Acid, Rosmarinus Officinalis (Rosemary) Leaf Oil, 1,2- Hexanediol, Anthemis Nobilis Flower Oil, Houttuynia Cordata Extract, Centella Asiatica Extract, Gentiana Lutea Root Extract, Artemisia Absinthium Extract, Achillea Millefolium Extract, Arnica Montana Flower Extract, Aniba Rosodora (Rosewood) Wood Oil, Madecassoside, Centella Asiatica Meristem Cell Culture, Xanthan Gum, Titanium Dioxide, Zinc Oxide, Methylpropanediol, Bis-Hydroxyethoxypropyl Dimethicone, Butyloctyl Salicylate, Lauryl Polyglyceryl-3 Polydimethylsiloxyethyl Dimethicone, Magnesium Sulfate, Caprylyl Glycol, Synthetic Fluorphlogopite, Glyceryl Caprylate, Zein, Ethylhexylglycerin, Citrus Paradisi (Grapefruit) Peel Oil, Silica Dimethyl Silylate, Zea Mays (Corn) Starch, Helianthus Annuss (Sunflower) Seed Oil, Hydrogenated Lecithin, Tocopherol, Dipotassium Phosphate, Sodium Chloride, Calcium Stearate, Glossypium Herbaceum (Cotton) Extract, Anastatica Hierochuntica Extract, Pentylene Glycol, Magnesium Aspartate, Zinc Gluconate, Lecithin, Brassica Campestris (Rapeseed) Sterols, Leuconostoc / Radish Root Ferment Filtrate, Sucrose Laurate, Polyglyceryl-2 Caprate, Phenoxyethanol, Gluconolactone, Lysolecithin, Cermaide NP, Copper Gluconate, Sodium Ascorbyl Phosphate.

Please be aware that ingredient lists may change or vary from time to time. Please refer to the ingredient list on the product package you receive for the most up-to-date list of ingredients.",BB & CC Creams
face,https://urldefense.com/v3/__https://www.sephora.com/product/fenty-beauty-rihanna-pro-filt-r-soft-matte-powder-foundation-P466829?icid2=products*20grid:p466829__;JQ!!Mih3wA!SDmb7C-mbJC9w0mwRXj1sFpaLGSeE_Z3lGSnfci_-V7PHKPI-CokrwCYsx-AsA7F3w$ ,2413631,FENTY BEAUTY by Rihanna,Pro Filt'r Soft Matte Powder Foundation,$36.00,"What it is: A light-as-air powder foundation that gives you light-to-full coverage with a soft matte finish.

Coverage: Medium

Finish: Matte

Formulation: Pressed Powder

Ingredient Callouts: Free of parabens and phthalates. It is also vegan, gluten-free, cruelty-free.

What Else You Need to Know: This powder delivers a non-cakey, blurred finish with no flashback. The buildable, light-to-full-coverage formula loves to be layered without settling into fine lines or clogging the look of pores. It’s also sweat, humidity, and crease resistant, plus it has a chic portable compact.

Shade finding tips:
- Pro Filt’r Soft Matte Powder Foundation comes in the same 50 shades as the original Pro Filt’r so if you know your shade # start there and adjust as needed—you may need to go a shade lighter.
- Don’t know your shade #? Start with your shade range (Light, Light Medium, Medium Deep, Deep), then narrow down your skin’s undertone.","Talc, Nylon-12, Synthetic Fluorphlogopite, Kaolin, Isoamyl Laurate, Dimethicone, Zinc Stearate, Phenyl Trimethicone, 1,2-Hexanediol, Caprylyl Glycol, Magnesium Myristate, Polyester-4, Boron Nitride, Barium Sulfate, Phenoxyethanol, Dimethiconol, Decylene Glycol, Hydrated Silica, Methyl Methacrylate Crosspolymer, Alumina, Magnesium Oxide. May Contain/Peut Contenir (+/-): Titanium Dioxide (Ci 77891), Iron Oxides (Ci 77491, Ci 77492, Ci 77499), Yellow 5 Lake (Ci 19140).",Foundation
face,https://urldefense.com/v3/__https://www.sephora.com/product/translucent-loose-setting-powder-P109908?icid2=products*20grid:p109908__;JQ!!Mih3wA!SDmb7C-mbJC9w0mwRXj1sFpaLGSeE_Z3lGSnfci_-V7PHKPI-CokrwCYsx-cXr4cAA$ ,870618,Laura Mercier,Translucent Loose Setting Powder,$39.00,"What it is: A lightweight, easy-to-apply, loose powder that blends effortlessly to set makeup for up to 16 hours of wear.
What Else You Need to Know: This award-winning powder locks in makeup for long-lasting wear without adding weight or texture. It absorbs oil and reduces shine all day, creating a flawless, matte finish with no flashback in photos. These truly-translucent shades work on all skin tones, and create a soft-focus effect to subtly blur fine lines and imperfections.
Translucent is perfect for fair to medium and tan skin tones.
Translucent Medium Deep is perfect for medium-deep to deep skin tones.
Clinical Results: TLSP was shown to have:
- No flashback in photos
- 16-hour long-wear
- Shine control up to 8 hours
In a consumer test on 32 women after 2 weeks:
- 100% said it is lightweight and does not look cakey on skin
- 100% said it controls and reduces shine
- 97% said it absorbs excess oil","Talc, Magnesium Myristate, Nylon-12, Caprylic/Capric Triglyceride, EthylhexylPalmitate, Zea Mays (Corn) Starch, Sodium Dehydroacetate, Methylparaben, Lauroyl Lysine, Propylparaben, Polymethyl Methacrylate, Butylparaben, Ascorbyl Palmitate, Glycine Soja (Soybean) Oil, Tocopherol, Methicone. May contain: Ultramarines (Cl 77007), Iron Oxides (Cl 77491, Cl 77492, Cl 77499).",Setting Spray & Powder
face,https://urldefense.com/v3/__https://www.sephora.com/product/airbrush-flawless-finish-setting-powder-P433526?icid2=products*20grid:p433526__;JQ!!Mih3wA!SDmb7C-mbJC9w0mwRXj1sFpaLGSeE_Z3lGSnfci_-V7PHKPI-CokrwCYsx9p_Nn3Yg$ ,2116333,Charlotte Tilbury,Airbrush Flawless Finish Setting Powder,$45.00,"What it is: An ultra-fine setting powder that blurs imperfections and visibly reduces shine.
Coverage: Medium
Finish: Natural
Formulation: Pressed Powder
Skin Type: Normal, Dry, Combination, and Oily
Highlighted ingredients:
- Rose Wax and Almond Oil: Help to nourish, soften, and moisturize the skin.
- Light-reflecting Pearls: Pearlescent pigments diffuse light as it hits your face to luminate the complexion.
Ingredient Callouts: Free of sulfates SLS and SLES, parabens, formaldehydes, formaldehyde-releasing agents, phthalates, mineral oil, retinyl palmitate, oxybenzone, coal tar, hydroquinone, triclosan, and triclocarban, and contains less than one percent of synthetic fragrances. This product is also vegan, cruelty-free, and gluten-free.
What else you need to know: This breathable, micro-fine powder technology gives you an immaculate complexion that acts like a luxe, micro-fine cashmere veil on top of your skin for a bright, perfecting finish. This product doesn’t cake or sit in lines. Rose wax and almond oil hydrate the skin throughout the day and enable the powder to blend on flawlessly, while reducing shine. Nourishing actives work to soothe and restore skin, while light-reflecting ingredients diffuse light as it hits your face for a luminous complexion and even finish all day. It's perfect if you suffer from an oily T-zone or complexion, or if you want a flawless retouched finish to your makeup.","-Rose Wax and Almond Oil: Hydrate the skin.

Alc, Mica, Polymethyl Methacrlate, Dimethicone, Silica, Pentaerythrityl Tetraisostearate, Cetearyl Ethylhexanoate, Zinc Stearate, Zea Mays (Corn) Starch, Chlorphenesin, Potassium Sorbate, Tocopheryl Acetate, Pei-10, Propylene Glycol, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Rosa Multiflora Flower Wax, Tetrasodium Edta, Water, Dimethiconol, Tilia Cordata Flower Extract (Tilia Cordata Extract), Methylparaben, Ethylparaben, Propylparaben, Butylparaben, [May Contain/Peut Contenir (+/-): Titanium Dioxide (Ci 77891), Iron Oxides (Ci 77491, Ci 77492, Ci 77499)].",Setting Spray & Powder
face,https://urldefense.com/v3/__https://www.sephora.com/product/pro-filtr-soft-matte-longwear-foundation-P87985432?icid2=products*20grid:p87985432__;JQ!!Mih3wA!SDmb7C-mbJC9w0mwRXj1sFpaLGSeE_Z3lGSnfci_-V7PHKPI-CokrwCYsx_ouykKIA$ ,2164671,FENTY BEAUTY by Rihanna,Pro Filt'r Soft Matte Longwear Foundation,$36.00,"What it is: A soft matte, long-wear foundation with buildable, medium-to-full coverage, in a boundary-breaking range of 50 shades.
Coverage: Full
Finish: Matte
Formulation: Liquid
Skin Type: Normal, Combination, and Oily
Ingredient Callouts: Free of parabens and phthalates. This product is also cruelty-free.
What Else You Need to Know: This long-wearing, light-as-air foundation gives skin an instantly-smooth, pore-diffused, shine-free finish. The oil-free formula is made with climate-adaptive technology that’s resistant to sweat and humidity, and won’t clog pores—so that wherever you are, it’s going to work on your skin.
This product is an Allure Best of Beauty award winner.","Water, Dimethicone, Talc, Peg-10 Dimethicone, Trimethylsiloxysilicate, Polypropylene, Isododecane, Cetyl Peg/Ppg-10/1 Dimethicone, Nylon-12, Hdi/Trimethylol Hexyllactone Crosspolymer, Phenoxyethanol, Sodium Chloride, Hydrogen Dimethicone, Glycerin, Magnesium Sulfate, Sodium Dehydroacetate, Disteardimonium Hectorite, Aluminum Hydroxide, Methicone, Benzoic Acid, Dehydroacetic Acid, Propylene Carbonate, Ethylhexylglycerin, Parfum/Fragrance, Silica, Biosaccharide Gum-4, Ananas Sativus (Pineapple) Fruit Extract, Carica Papaya (Papaya) Fruit Extract, Paullinia Cupana Seed Extract, Potassium Sorbate, Sorbic Acid. May Contain (+/-): Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77492, CI77499).",Foundation
face,https://urldefense.com/v3/__https://www.sephora.com/product/all-nighter-long-lasting-makeup-setting-spray-P263504?icid2=products*20grid:p263504__;JQ!!Mih3wA!SDmb7C-mbJC9w0mwRXj1sFpaLGSeE_Z3lGSnfci_-V7PHKPI-CokrwCYsx9g-ZEI0g$ ,1900000,Urban Decay,All Nighter Long-Lasting Makeup Setting Spray,$33.00,"What it is: A weightless setting spray that locks in makeup, absorbs oil, and controls shine on the skin‘s surface.

Ingredient Callouts: Free of parabens. This product is also vegan and cruelty-free.

What Else You Need to Know: With patented Temperature Control Technology, this lightweight vegan makeup setting spray lowers the temperature of your makeup—from foundation and concealer to eyeshadow and blush—to lock your makeup look in place. The result is smoother-looking skin and vibrant makeup that lasts all night long.

This product is an Allure Best of Beauty winner.","Aqua / Water, Alcohol Denat., PVP, Dimethicone PEG-7 Phosphate, PPG-3 Benzyl Ether Myristate, Polyhydroxystearic Acid, Dipropylene Glycol, Isononyl Isononanoate, Ethylhexyl Isononanoate, Caprylyl Glycol, Sodium Cocamidopropyl PG-Dimonium Chloride Phosphate, Methyl Methacrylate Crosspolymer, Glycereth-5 Lactate, Sodium Hydroxide, Phenylpropanol, Parfum / Fragrance, Propanediol, Methyl Diisopropyl Propionamide, Poloxamer 407, Aloe Barbadensis Leaf Juice Powder, Maltodextrin, Hexyl Cinnamal, Linalool, Citronellol, Limonene, Benzyl Alcohol, Tocopherol, Potassium Sorbate, Sodium Benzoate, BHT.",Setting Spray & Powder
face,https://urldefense.com/v3/__https://www.sephora.com/product/luminous-silk-foundation-P393401?icid2=products*20grid:p393401__;JQ!!Mih3wA!SDmb7C-mbJC9w0mwRXj1sFpaLGSeE_Z3lGSnfci_-V7PHKPI-CokrwCYsx_uQlTvfQ$ ,2340917,Armani Beauty,Luminous Silk Perfect Glow Flawless Oil-Free Foundation,$64.00,"What it is: An award-winning, oil-free foundation that delivers buildable, medium coverage and a luminous, glowy-skin finish for a natural, flawless makeup look.
Coverage: Medium

Finish: Natural

Formulation: Liquid

Skin Type: Normal, Dry, and Combination

Highlighted Ingredients:
- Micro-Fil™ Technology: Provides a translucent radiance and flawless finish.

What Else You Need to Know: This lightweight foundation is formulated with Micro-Fil™ Technology, which allows buildable color pigments to lay flat for seamless blending and layering. Inspired by charmeuse silk, this liquid foundation creates an airbrushed, silky-skin appearance and a natural, radiant, lit-from-within glow.

This product is an Allure Best of Beauty Winner.",-Micro-Fil Technology: Provides a translucent radiance and flawless finish.,Foundation
face,https://urldefense.com/v3/__https://www.sephora.com/product/match-stix-trio-P44543278?icid2=products*20grid:p44543278__;JQ!!Mih3wA!SDmb7C-mbJC9w0mwRXj1sFpaLGSeE_Z3lGSnfci_-V7PHKPI-CokrwCYsx9NQUp62g$ ,1925833,FENTY BEAUTY by Rihanna,Match Stix Trio,$54.00,"What it is:
A magnetized trio of long-wear, light-as-air makeup sticks curated by skin tone, with two Match Stix Matte Skinsticks to conceal and contour, and one Match Stix Shimmer Skinstick to highlight.

What it does:
With Match Stix Trios, take your complexion to the next level without the guesswork. Our pre-bundled sets make it easy to conceal, contour, and highlight on repeat. These light-as-air makeup sticks are expertly curated—and magnetize together—so you’re always ready for anything..

Each set comes with two Match Stix MATTE Skinsticks (conceal, contour), and one Match Stix SHIMMER Skinstick (highlight) —all of which are weightless, easy to blend, and stay put. The cream-to-powder formulas are so seamless, it’s impossible to tell where skin ends and makeup begins. They’re buildable and LIVE to be layered in a range of combos that light up all skin tones.

With a magnetic physical attraction, MATTE and SHIMMER Skinsticks click to each other, uniting for the total no-brainer, skin-defining package that’s always at your beck and call.

What it is formulated WITHOUT:
- Parabens
- Sulfates
- Phthalates

What else you need to know:
""I wanted to create a product that would be flexible, to give you your concealer, your contour, and your highlight. Match Stix lets you choose your best matches, and best of all, they’re magnetic, so they click together and are easy to find in your bag. Match Stix Trios were customized to make it easy when doing your makeup: there are three steps and they’re all in here.""—Rihanna, Brand Founder

Fenty Beauty is 100% cruelty free.","Bamboo, Mocha:
Tricaprylin, C12-15 Alkyl Ethylhexanoate, Polyethylene, Polymethyl Methacrylate, Octyldodecanol, Sucrose Acetate Isobutyrate, Mica, Cera Microcristallina/Microcrystalline Wax/Cire Microcristalline, Octyldodecyl Neopentanoate, Silica, Polymethylsilsesquioxane, Caprylyl Glycol, Cetyl Peg/Ppg-10/1 Dimethicone, Vp/Eicosene Copolymer, Vp/Hexadecene Copolymer, Cocos Nucifera (Coconut) Oil, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, Tocopheryl Acetate, Ascorbyl Palmitate, Sodium Hyaluronate, Tocopherol, Calcium Sodium Borosilicate, Synthetic Fluorphlogopite, Calcium Aluminum Borosilicate, Polyethylene Terephthalate, Acrylates Copolymer, Tin Oxide. May Contain/Peut Contenir (+/-): Titanium Dioxide (Ci 77891), Iron Oxides (Ci 77491, Ci 77492, Ci 77499), Yellow 6 Lake (Ci 15985), Yellow 5 Lake (Ci 19140).

Trippin:
Ethylhexyl Isononanoate, Mica, Octyldodecanol, Polymethyl Methacrylate, Sucrose Acetate Isobutyrate, C20-40 Alcohols, Tribehenin, Paraffin, Polyethylene, Vp/Eicosene Copolymer, Vp/Hexadecene Copolymer, Diisostearyl Malate, Cera Microcristallina/Microcrystalline Wax/Cire Microcristalline, Caprylyl Glycol, Phenoxyethanol, Tocopheryl Acetate, Hexylene Glycol, Tocopherol, Isostearyl Alcohol, Ascorbyl Palmitate, Malic Acid, Calcium Sodium Borosilicate, Synthetic Fluorphlogopite, Calcium Aluminum Borosilicate, Polyethylene Terephthalate, Acrylates Copolymer, Silica, Tin Oxide, Titanium Dioxide (Ci 77891), Iron Oxides (Ci 77491), Red 7 Lake (Ci 15850), Yellow 6 Lake (Ci 15985), Carmine (Ci 75470). Caramel & Truffle: Tricaprylin, C12-15 Alkyl Ethylhexanoate, Polyethylene, Polymethyl Methacrylate, Octyldodecanol, Sucrose Acetate Isobutyrate, Mica, Cera Microcristallina/Microcrystalline Wax/Cire Microcristalline, Octyldodecyl Neopentanoate, Silica, Polymethylsilsesquioxane, Caprylyl Glycol, Cetyl Peg/Ppg-10/1 Dimethicone, Vp/Eicosene Copolymer, Vp/Hexadecene Copolymer, Cocos Nucifera (Coconut) Oil, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, Tocopheryl Acetate, Ascorbyl Palmitate, Sodium Hyaluronate, Tocopherol, Calcium Sodium Borosilicate, Synthetic Fluorphlogopite, Calcium Aluminum Borosilicate, Polyethylene Terephthalate, Acrylates Copolymer, Tin Oxide. May Contain/Peut Contenir (+/-): Titanium Dioxide (Ci 77891), Iron Oxides (Ci 77491, Ci 77492, Ci 77499), Yellow 6 Lake (Ci 15985), Yellow 5 Lake (Ci 19140).",Face Sets
face,https://urldefense.com/v3/__https://www.sephora.com/product/hydro-grip-primer-P441813?icid2=products*20grid:p441813__;JQ!!Mih3wA!SDmb7C-mbJC9w0mwRXj1sFpaLGSeE_Z3lGSnfci_-V7PHKPI-CokrwCYsx8crTPxQg$ ,2169423,MILK MAKEUP,Hydro Grip Primer,$30.00,"What it is: An award-winning, hydrating, makeup-gripping gel primer that is formulated with hemp-derived cannabis seed extract and blue agave extract.
Skin Type: Normal and Dry
Skincare Concerns: Loss of Firmness and Elasticity, Fine Lines and Wrinkles, and Dryness
Highlighted Ingredients:
- Hemp-Derived Cannabis Seed Extract: Hydrates and smooths skin while also helping to provide antioxidant benefits.
- Blue Agave Extract: Visibly smooths skin texture and helps hydrate.
- Aloe Water and Hyaluronic Acid: Hydrate, soothe, and calm skin.
Ingredient Callouts: Free of sulfates SLS and SLES, parabens, formaldehydes, formaldehyde-releasing agents, phthalates, mineral oil, retinyl palmitate, oxybenzone, coal tar, hydroquinone, triclosan, and triclocarban, and contains less than one percent of synthetic fragrances. This product is also vegan, cruelty-free, and gluten-free.
What Else You Need to Know: This primer contains aloe water, hyaluronic acid, sweet cherry, and vitamins B3 and B5 to nourish skin for a healthier-looking base and glow. It is a silicone-free, oil-free formula that goes on clear to work across all skin tones and types.
Clinical Results: In a consumer-perception study, immediately after use:
- 100% of people said skin feels smoother
- 93.3% of people said skin feels more hydrated
- 93.3% of people said makeup went on easier
12 hours after application:
- 100% of people said skin feels more hydrated","-Hemp-Derived Cannabis Seed Extract: Hydrates and smooths skin while also helping to provide antioxidant benefits.
-Blue Agave Extract: Visibly smooths skin texture and helps hydrate.
-Aloe Water and Hyaluronic Acid: Hydrate, soothe, and calm skin.

Aloe Barbadensis Leaf Water, Water (Aqua, Eau), Glycerin, PEG-150 Distearate, Alcohol Denat., Polyglyceryl-10 Eicosanedioate/Tetradecanedioate, Diglycerin, PVP, Benzyl Alcohol, Sorbitol, Pullulan, Inositol, Betaine, Carbomer, Maltose, Xylitol, Sodium Hydroxide, Sodium Benzoate, Potassium Sorbate, Sodium Phytate, Benzophenone-4, Dehydroacetic Acid, Phenoxyethanol, Agave Tequilana Stem Extract, Sodium Hyaluronate, Niacinamide, Propylene Glycol, Panthenol, Vegetable Amino Acids, Cannabis Sativa (Hemp) Seed Extract, Opuntia Ficus-Indica Flower Extract, Prunus Avium Flower Extract, Citric Acid, Benzoic Acid, Yellow 5 (CI 19140), Blue 1 (CI 42090), Red 33 (CI 17200).",Face Primer
